date,asset,score,alpha
2017-12-29,GLD,0.3255478672522263,0.009766436017566788
2017-12-29,DBC,-0.4583170943564867,-0.0137495128306946
2017-12-29,VNQ,-0.10927116390612057,-0.003278134917183617
2018-01-31,SPY,1.3882678894188962,0.041648036682566884
2018-01-31,QQQ,2.121078635327348,0.06363235905982044
2018-01-31,IWM,0.8002909044555919,0.024008727133667758
2018-01-31,EFA,1.557205380384311,0.04671616141152933
2018-01-31,EEM,2.4003461501725183,0.07201038450517555
2018-01-31,TLT,-0.8602358439745261,-0.025807075319235782
2018-01-31,IEF,-1.5221486974946377,-0.045664460924839126
2018-01-31,SHY,-1.7629157428335496,-0.05288747228500649
2018-01-31,LQD,-0.01549441201944668,-0.00046483236058340036
2018-01-31,HYG,-0.2133843021379409,-0.006401529064138227
2018-01-31,GLD,-0.003294953114474808,-9.884859343424424e-05
2018-01-31,DBC,-0.17503931954838592,-0.005251179586451577
2018-01-31,VNQ,-1.2146756886357042,-0.03644027065907112
2018-02-28,SPY,1.3045337201953957,0.03913601160586187
2018-02-28,QQQ,2.017276148046556,0.06051828444139668
2018-02-28,IWM,0.840955291774559,0.02522865875323677
2018-02-28,EFA,1.6245035436962867,0.0487351063108886
2018-02-28,EEM,2.4523839406232923,0.07357151821869877
2018-02-28,TLT,-1.198112042140663,-0.03594336126421989
2018-02-28,IEF,-1.4689023927909384,-0.04406707178372815
2018-02-28,SHY,-1.45279824731525,-0.0435839474194575
2018-02-28,LQD,-1.1051996239579258,-0.033155988718737775
2018-02-28,HYG,-1.151064770290155,-0.03453194310870465
2018-02-28,GLD,0.08341117248348112,0.0025023351745044335
2018-02-28,DBC,0.28320996835706824,0.008496299050712046
2018-02-28,VNQ,-1.7301967086817056,-0.051905901260451165
2018-03-29,SPY,1.4115922032618708,0.04234776609785612
2018-03-29,QQQ,2.449107303350948,0.07347321910052844
2018-03-29,IWM,0.8520490475862396,0.025561471427587187
2018-03-29,EFA,1.2311531931090265,0.03693459579327079
2018-03-29,EEM,1.9919759206170693,0.059759277618512074
2018-03-29,TLT,-1.2999204731218406,-0.03899761419365522
2018-03-29,IEF,-1.4841953471904128,-0.04452586041571238
2018-03-29,SHY,-1.3488318458117001,-0.040464955374351005
2018-03-29,LQD,-1.109965514860762,-0.03329896544582286
2018-03-29,HYG,-0.9831957456923309,-0.029495872370769928
2018-03-29,GLD,0.16641834474051825,0.004992550342215548
2018-03-29,DBC,0.6758155175668021,0.020274465527004064
2018-03-29,VNQ,-2.052002603555427,-0.0615600781066628
2018-04-30,SPY,1.1527238215806472,0.034581714647419416
2018-04-30,QQQ,1.899991408952963,0.056999742268588886
2018-04-30,IWM,0.9029952552482182,0.027089857657446547
2018-04-30,EFA,1.0943807919317678,0.03283142375795303
2018-04-30,EEM,2.4049137948046964,0.07214741384414089
2018-04-30,TLT,-1.1518475152487435,-0.034555425457462305
2018-04-30,IEF,-1.5772954832293813,-0.047318864496881434
2018-04-30,SHY,-1.4212178289998092,-0.042636534869994275
2018-04-30,LQD,-1.1997880145953372,-0.03599364043786012
2018-04-30,HYG,-1.1739690024285148,-0.03521907007285544
2018-04-30,GLD,0.11859572595807549,0.0035578717787422645
2018-04-30,DBC,1.4074386933727032,0.042223160801181096
2018-04-30,VNQ,-1.9569216473472852,-0.058707649420418555
2018-05-31,SPY,1.1902586697103033,0.0357077600913091
2018-05-31,QQQ,1.7228646104832848,0.05168593831449854
2018-05-31,IWM,1.5118462154247374,0.04535538646274212
2018-05-31,EFA,-0.08587159518317417,-0.002576147855495225
2018-05-31,EEM,0.6457823822925763,0.01937347146877729
2018-05-31,TLT,-1.5482110592855374,-0.04644633177856612
2018-05-31,IEF,-1.7147509278744344,-0.05144252783623303
2018-05-31,SHY,-1.3321141149484057,-0.03996342344845217
2018-05-31,LQD,-1.4547560074495762,-0.04364268022348729
2018-05-31,HYG,-1.1003099363360398,-0.03300929809008119
2018-05-31,GLD,-0.9432521946032177,-0.02829756583809653
2018-05-31,DBC,2.145835233157962,0.06437505699473886
2018-05-31,VNQ,-0.537321275388478,-0.01611963826165434
2018-06-29,SPY,1.1131944264891156,0.033395832794673466
2018-06-29,QQQ,2.1726602270126762,0.06517980681038028
2018-06-29,IWM,1.4126409706805427,0.04237922912041628
2018-06-29,EFA,-0.5141919234086308,-0.015425757702258925
2018-06-29,EEM,-0.01502647691594855,-0.0004507943074784565
2018-06-29,TLT,-0.3956974626039743,-0.011870923878119229
2018-06-29,IEF,-1.5264832191632496,-0.04579449657489749
2018-06-29,SHY,-0.3007379041455669,-0.009022137124367006
2018-06-29,LQD,-1.4271194656660302,-0.0428135839699809
2018-06-29,HYG,-1.1482986579380858,-0.034448959738142576
2018-06-29,GLD,-0.8774803429022268,-0.0263244102870668
2018-06-29,DBC,2.4749813124922975,0.07424943937476892
2018-06-29,VNQ,-0.46844148393091944,-0.014053244517927582
2018-07-31,SPY,1.3510302226260582,0.040530906678781745
2018-07-31,QQQ,2.438165461889241,0.07314496385667724
2018-07-31,IWM,1.934098917117568,0.058022967513527035
2018-07-31,EFA,0.2593677815216495,0.007781033445649486
2018-07-31,EEM,-0.9930176092344009,-0.029790528277032026
2018-07-31,TLT,-1.0721807896632707,-0.032165423689898116
2018-07-31,IEF,-1.4135036911815035,-0.0424051107354451
2018-07-31,SHY,-0.16248940787410893,-0.0048746822362232675
2018-07-31,LQD,-1.4402732382768546,-0.043208197148305635
2018-07-31,HYG,-0.10216833186549779,-0.0030650499559649333
